title,year,name,type,character,n
Closet Monster,2000,Buffy ,actor,Lead role (Buffy),1
Suuri illusioni,1985,Homo ,actor,Guests,22
Battle of the Sexes,2017,$hutter,actor,Bobby Riggs Fan,10
Secret in Their Eyes,2015,$hutter,actor,2002 Dodger Fan,
Steve Jobs,2015,$hutter,actor,1988 Opera House Patron,
Straight Outta Compton,2015,$hutter,actor,Club Patron,
Straight Outta Compton,2015,$hutter,actor,Dopeman,
For Thy Love 2,2009,Bee Moe $lim,actor,Thug 1,
"Lapis, Ballpen at Diploma, a True to Life Journey",2014,Jori ' Danilo' Jurado Jr.,actor,Jaime (young),9
Desire (III),2014,Syaiful 'Ariffin,actor,Actor Playing Eteocles from 'Antigone',
When the Man Went South,2014,Taipaleti 'Atu'ake,actor,Two Palms - Ua'i Paame,8
Little Angel (Angelita),2015,Michael 'babeepower' Viera,actor,Chico,9
Mixing Nia,1998,Michael 'babeepower' Viera,actor,Rapper,
The Replacements,2000,Steven 'Bear'Boyd,actor,Defensive Tackle - Washington Sentinels,
All Out Dysfunktion!,2016,Kirlew 'bliss' Vilbon,actor,Bliss,
Gook,2017,Kirlew 'bliss' Vilbon,actor,Bliss,
My Song for You,2010,George 'Bootsy' Thomas,actor,Cooley's Customer,16
My Song for You,2010,George 'Bootsy' Thomas,actor,Celebration Guest,16
Hustle Beach,2017,Pete 'Boretta' Torres,actor,Tony,
Mariano Mison... NBI,1997,Joseph 'Byron' Sese,actor,Putik's Son,31
Natas es Satan,1977,Ramon 'Cartucho' Pena,actor,Nigth Club Owner,
Todo x Sara,2014,Gil 'Colibri'Viera,actor,Llavero,
Barrio Gangsters,2009,Marcelino 'Dibujo' Torres,actor,Dibujo,
"Cornmeal, Gunpowder, Ham Hocks and Guitar Strings",2015,Donnie 'Dicky' Clemson,actor,Jeb Kinney,
The LXD: The Secrets of the Ra,2011,Dondraico 'Draico' Johnson,actor,Umbra,
Pelotazo nacional,1993,F̩lix 'El Gato',actor,Rebolledo,12
Los tarantos,1963,'El Guisa',actor,Bailaor,25
